"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1900","Runs Cucumber Scenarios","TestSuite","Thu May 08 18:19:00 GMT 2025","passed","Thu May 08 18:19:01 GMT 2025","runner.RunnerApi","TestProject","runner.RunnerApi","runScenario"
"","5479","Runs Cucumber Scenarios","TestSuite","Thu May 08 18:18:54 GMT 2025","passed","Thu May 08 18:18:59 GMT 2025","runner.RunnerWeb","TestProject","runner.RunnerWeb","runScenario"
"","930","Runs Cucumber Scenarios","TestSuite","Thu May 08 18:19:02 GMT 2025","passed","Thu May 08 18:19:03 GMT 2025","runner.RunnerApi","TestProject","runner.RunnerApi","runScenario"
"","897","Runs Cucumber Scenarios","TestSuite","Thu May 08 18:19:01 GMT 2025","passed","Thu May 08 18:19:02 GMT 2025","runner.RunnerApi","TestProject","runner.RunnerApi","runScenario"
"","23706","Runs Cucumber Scenarios","TestSuite","Thu May 08 18:18:30 GMT 2025","passed","Thu May 08 18:18:54 GMT 2025","runner.RunnerWeb","TestProject","runner.RunnerWeb","runScenario"
"","880","Runs Cucumber Scenarios","TestSuite","Thu May 08 18:19:03 GMT 2025","passed","Thu May 08 18:19:04 GMT 2025","runner.RunnerApi","TestProject","runner.RunnerApi","runScenario"
