"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38583","Runs Cucumber Scenarios","TestSuite","Thu May 08 15:51:48 GMT 2025","broken","Thu May 08 15:52:26 GMT 2025","runner.RunnerWeb","TestProject","runner.RunnerWeb","runScenario"
"","201","Runs Cucumber Scenarios","TestSuite","Thu May 08 15:52:32 GMT 2025","passed","Thu May 08 15:52:32 GMT 2025","runner.RunnerApi","TestProject","runner.RunnerApi","runScenario"
"","1391","Runs Cucumber Scenarios","TestSuite","Thu May 08 15:52:30 GMT 2025","passed","Thu May 08 15:52:32 GMT 2025","runner.RunnerApi","TestProject","runner.RunnerApi","runScenario"
"","246","Runs Cucumber Scenarios","TestSuite","Thu May 08 15:52:32 GMT 2025","passed","Thu May 08 15:52:32 GMT 2025","runner.RunnerApi","TestProject","runner.RunnerApi","runScenario"
"","4106","Runs Cucumber Scenarios","TestSuite","Thu May 08 15:52:26 GMT 2025","passed","Thu May 08 15:52:30 GMT 2025","runner.RunnerWeb","TestProject","runner.RunnerWeb","runScenario"
"","199","Runs Cucumber Scenarios","TestSuite","Thu May 08 15:52:32 GMT 2025","passed","Thu May 08 15:52:32 GMT 2025","runner.RunnerApi","TestProject","runner.RunnerApi","runScenario"
